 Timecode, m      
11/05/2023 16:04,5.335.259
11/05/2023 16:04,5.312.177
11/05/2023 16:04,5.364.487
11/05/2023 16:05,5.333.720
11/05/2023 16:05,5.269.076
11/05/2023 16:05,5.262.916
11/05/2023 16:05,5.295.247
11/05/2023 16:05,5.306.021
11/05/2023 16:05,5.373.716
11/05/2023 16:05,5.407.544
11/05/2023 16:05,5.361.411
11/05/2023 16:05,5.396.782
11/05/2023 16:05,5.381.405
11/05/2023 16:05,5.276.774
11/05/2023 16:05,5.261.377
11/05/2023 16:05,5.298.325
11/05/2023 16:05,5.341.413
11/05/2023 16:05,5.372.178
11/05/2023 16:05,5.396.782
11/05/2023 16:05,5.470.556
11/05/2023 16:05,5.425.991
11/05/2023 16:05,5.262.916
11/05/2023 16:05,5.216.709
11/05/2023 16:05,5.270.615
11/05/2023 16:05,5.327.566
11/05/2023 16:05,5.367.564
11/05/2023 16:05,5.416.768
11/05/2023 16:05,5.406.007
11/05/2023 16:05,5.372.178
11/05/2023 16:05,5.421.379
11/05/2023 16:05,5.375.253
11/05/2023 16:05,5.321.411
11/05/2023 16:05,5.425.991
11/05/2023 16:05,5.433.676
11/05/2023 16:05,5.341.413
11/05/2023 16:05,5.302.943
11/05/2023 16:05,5.327.566
11/05/2023 16:05,5.392.169
11/05/2023 16:05,5.361.411
11/05/2023 16:05,5.306.021
11/05/2023 16:05,5.381.405
11/05/2023 16:05,5.384.480
11/05/2023 16:05,5.259.837
11/05/2023 16:05,5.218.250
11/05/2023 16:05,5.295.247
11/05/2023 16:05,5.412.156
11/05/2023 16:05,5.429.065
11/05/2023 16:05,5.350.644
11/05/2023 16:05,5.306.021
11/05/2023 16:05,5.306.021
11/05/2023 16:05,5.252.137
11/05/2023 16:05,5.269.076
11/05/2023 16:05,5.393.707
11/05/2023 16:05,5.407.544
11/05/2023 16:05,5.399.857
11/05/2023 16:05,5.413.693
11/05/2023 16:05,5.229.033
11/05/2023 16:05,5.178.184
11/05/2023 16:05,5.309.099
11/05/2023 16:05,5.421.379
11/05/2023 16:05,5.467.483
11/05/2023 16:05,5.410.619
11/05/2023 16:05,5.435.213
11/05/2023 16:06,5.419.842
11/05/2023 16:06,5.261.377
11/05/2023 16:06,5.241.356
11/05/2023 16:06,5.287.550
11/05/2023 16:06,5.347.567
11/05/2023 16:06,5.389.094
11/05/2023 16:06,5.412.156
11/05/2023 16:06,5.396.782
11/05/2023 16:06,5.339.875
11/05/2023 16:06,5.278.313
11/05/2023 16:06,5.227.493
11/05/2023 16:06,5.242.896
